,^N225,^GSPC/JPY,BTC/JPY
2021-03-05,28864.3203125,414756.63340931386,5281947.267127633
2021-03-08,28743.25,414306.95133982226,5664515.757603943
2021-03-09,29027.939453125,422186.5633672215,5972484.666252792
2021-03-10,29036.560546875,423321.113295909,6081240.613029748
2021-03-11,29211.640625,427150.52128445916,6267924.84457162
2021-03-12,29717.830078125,428069.2844443787,6223685.030484647
2021-03-15,29766.970703125,433078.8067474477,6100425.676300198
2021-03-16,29921.08984375,432466.3995189965,6199346.3649350405
2021-03-17,29914.330078125,433294.3395886645,6418634.72032252
2021-03-18,30216.75,426358.3460658118,6300315.794793487
2021-03-19,29792.05078125,426257.90578244627,6355759.172212243
2021-03-22,29174.150390625,429015.9921172634,5936642.614076734
2021-03-23,28995.919921875,425370.72946339846,5954283.568768501
2021-03-24,28405.51953125,422049.44808699377,5727063.128465295
2021-03-25,28729.880859375,425316.68650407717,5624895.63073501
2021-03-26,29176.69921875,433936.3103210181,6019836.688551903
2021-03-29,29384.51953125,435989.95329385623,6340452.143574536
2021-03-30,29432.69921875,434791.29736442864,6471283.466991663
2021-03-31,29178.80078125,438229.62081325985,6499041.785187632
2021-04-01,29388.869140625,445200.6154785156,6544860.8017578125
2021-04-02,29854.0,444649.8891014531,6568676.8969454765
2021-04-05,30089.25,451330.8433071971,6536348.979054451
2021-04-06,29696.630859375,448919.6671958752,6412390.702782512
2021-04-07,29730.7890625,447949.9420007691,6153780.953886032
2021-04-08,29708.98046875,450082.299504742,6407002.745615602
2021-04-09,29768.060546875,451401.6902065426,6367926.3837201
2021-04-12,29538.73046875,452815.76177734137,6569952.461716175
2021-04-13,29751.609375,452982.24984535575,6945627.144219428
2021-04-14,29620.990234375,449274.49771258235,6874160.679481447
2021-04-15,29642.689453125,454133.6952637136,6894515.814340055
2021-04-16,29683.369140625,454914.58469873294,6692285.054561198
2021-04-19,29685.369140625,452625.4458280355,6058286.5331174135
2021-04-20,29100.380859375,446978.7360194959,6104621.707934618
2021-04-21,28508.55078125,451284.42991255224,5829027.387453049
2021-04-22,29188.169921875,446739.10816696286,5592344.335737705
2021-04-23,29020.630859375,451366.3745570779,5516990.230610967
2021-04-26,29126.23046875,451735.3348218128,5827542.710557848
2021-04-27,28991.890625,453011.5152521394,5954693.537382305
2021-04-28,29053.970703125,454920.84411621094,5962186.46484375
2021-04-30,28812.630859375,455346.12636469305,6289225.104508549
2021-05-06,29331.369140625,458896.75501605123,6159571.139869809
2021-05-07,29357.8203125,461565.0535662845,6254715.850623786
2021-05-10,29518.33984375,454746.2351651676,6064809.787896037
2021-05-11,28608.58984375,451931.19037859514,6171952.776633829
2021-05-12,28147.509765625,441713.38296738267,5343400.249517083
2021-05-13,27448.009765625,450993.2060241699,5452076.487201452
2021-05-14,28084.470703125,457103.3624546416,5462716.630327016
2021-05-17,27824.830078125,455513.9004264027,4763526.343779266
2021-05-18,28406.83984375,450932.4000415653,4687508.792029887
2021-05-19,28044.44921875,448065.8538024798,4028381.650991738
2021-05-20,28098.25,454479.5434810892,4456452.267241806
2021-05-21,28317.830078125,452406.90725333244,4060988.7292533517
2021-05-24,28364.609375,457138.4622972384,4215816.637064844
2021-05-25,28553.98046875,455882.11718283594,4180120.2586633563
2021-05-26,28642.189453125,456532.1376757622,4275287.54014492
2021-05-27,28549.009765625,458610.0491145998,4196163.808057308
2021-05-28,29149.41015625,461649.0920224972,3919918.291374892
2021-05-31,28860.080078125,462061.09299290925,4103142.059416473
2021-06-01,28814.33984375,460093.95409579575,4016742.4397440553
2021-06-02,28946.140625,460759.68006692827,4114219.007332206
2021-06-03,29058.109375,459515.41157086194,4297084.716534138
2021-06-04,28941.51953125,466413.0609101616,4068198.556777239
2021-06-07,29019.240234375,463298.4313087426,3678823.9140802324
2021-06-08,28963.560546875,461929.5924012959,3657688.5474153757
2021-06-09,28860.80078125,461909.9050380215,4088133.1271133125
2021-06-10,28958.560546875,464656.54165477306,4022971.7515030503
2021-06-11,28948.73046875,464708.1420316994,4084719.0710406303
2021-06-14,29161.80078125,466828.23907794803,4412328.8304668665
2021-06-15,29441.30078125,467298.9945512414,4446346.320285499
2021-06-16,29291.009765625,464961.81075401604,4221398.014206886
2021-06-17,29018.330078125,467655.40288316086,4215186.499952227
2021-06-18,28964.080078125,459663.6050828546,3948227.816078961
2021-06-21,28010.9296875,465576.0718809441,3490803.1708263606
2021-06-22,28884.130859375,468696.56442541257,3587779.75194183
2021-06-23,28874.890625,469376.54322239757,3731587.84505412
2021-06-24,28875.23046875,473631.61832533777,3847946.547715664
2021-06-25,29066.1796875,474819.5361746028,3509294.0420790166
2021-06-28,29048.01953125,475493.9602453597,3816081.9289264083
2021-06-29,28812.609375,474685.92017641664,3967083.6637126207
2021-06-30,28791.529296875,475024.17823791504,3873238.9286749363
2021-07-01,28707.0390625,480049.008421842,3730667.9687854648
2021-07-02,28783.279296875,485599.2549370229,3781961.2663525343
2021-07-05,28598.189453125,483697.29783275723,3750362.2162103355
2021-07-06,28643.2109375,481768.0885633081,3797230.935818553
2021-07-07,28366.94921875,482017.8698608652,3744466.9124275446
2021-07-08,28118.029296875,478033.91048270836,3637388.021190673
2021-07-09,27940.419921875,479780.94903903455,3711055.5693080127
2021-07-12,28569.01953125,483251.9664771855,3654271.628013253
2021-07-13,28718.240234375,482033.07560665905,3607850.8514220417
2021-07-14,28608.490234375,483775.6922391355,3629987.579109311
2021-07-15,28279.08984375,479533.5209468119,3495371.896730095
2021-07-16,28003.080078125,475026.9871045947,3449393.711367488
2021-07-19,27652.740234375,467897.3583509773,3386078.4935303032
2021-07-20,27388.16015625,473522.0456819236,3264917.9162991047
2021-07-21,27548.0,479107.19037837535,3529607.3552660644
2021-07-26,27833.2890625,488858.70394114405,4127440.438455552
2021-07-27,27970.220703125,485489.8452079296,4346664.52795887
2021-07-28,27581.66015625,483216.68977816403,4391790.471922874
2021-07-29,27782.419921875,485624.79679371044,4396565.44186914
2021-07-30,27283.58984375,480880.9606744051,4620948.803687096
2021-08-02,27781.01953125,481297.7977247536,4300688.662699759
2021-08-03,27641.830078125,483313.15426068753,4168937.91572088
2021-08-04,27584.080078125,479850.3212662935,4332120.091502309
2021-08-05,27728.119140625,485114.9016225524,4476401.427927911
2021-08-06,27820.0390625,486916.9403094873,4699196.460960388
2021-08-10,27888.150390625,489400.1444168091,5028302.445933342
2021-08-11,28070.509765625,491321.6765629351,5042565.014340609
2021-08-12,28015.01953125,492359.6614933759,4903728.001389563
2021-08-13,27977.150390625,493280.60345458984,5276525.936626792
2021-08-16,27523.189453125,491083.7272185907,5043195.620396018
2021-08-17,27424.470703125,486161.7952673435,4885068.562665939
2021-08-18,27585.91015625,481992.3884093836,4907387.790034294
2021-08-19,27281.169921875,483941.8747851923,5131552.35042274
2021-08-20,27013.25,487553.21395374835,5415862.535733551
2021-08-23,27494.240234375,492031.5351970345,5442148.762931585
2021-08-24,27732.099609375,492040.73809565976,5232311.587860882
2021-08-25,27724.80078125,493366.93736391887,5372467.548186243
2021-08-26,27742.2890625,491592.71072387695,5162517.351835728
2021-08-27,27641.140625,496247.14696813375,5398808.1219497025
